2016-02-25 15:21:55.334 INFO  EQMS:41 - Java v1.8.0_65-b17
2016-02-25 15:21:55.342 INFO  EQMS:42 - Spectra Engine v15.0.9.3
2016-02-25 15:21:55.571 INFO  Global:60 - Total Allowed TSU = 20
2016-02-25 15:21:55.572 INFO  EQMS:82 - Total Allowed SoftTSUs are 20
2016-02-25 15:21:55.955 INFO  Version:66 - HCANN000001: Hibernate Commons Annotations {4.0.5.Final}
2016-02-25 15:21:55.976 INFO  Version:54 - HHH000412: Hibernate Core {4.3.6.Final}
2016-02-25 15:21:55.981 INFO  Environment:239 - HHH000206: hibernate.properties not found
2016-02-25 15:21:55.986 INFO  Environment:346 - HHH000021: Bytecode provider name : javassist
2016-02-25 15:21:56.047 INFO  Configuration:2073 - HHH000043: Configuring from resource: hibernate.cfg.xml
2016-02-25 15:21:56.048 INFO  Configuration:2092 - HHH000040: Configuration resource: hibernate.cfg.xml
2016-02-25 15:21:56.117 WARN  DTDEntityResolver:75 - HHH000223: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2016-02-25 15:21:56.170 INFO  Configuration:757 - HHH000221: Reading mappings from resource: com/wavetec/eqms/models/data/ProfileData.hbm.xml
2016-02-25 15:21:56.253 WARN  DTDEntityResolver:75 - HHH000223: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2016-02-25 15:21:56.315 INFO  Configuration:757 - HHH000221: Reading mappings from resource: com/wavetec/eqms/models/data/SequenceData.hbm.xml
2016-02-25 15:21:56.322 WARN  DTDEntityResolver:75 - HHH000223: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2016-02-25 15:21:56.360 INFO  Configuration:757 - HHH000221: Reading mappings from resource: com/wavetec/eqms/models/data/DeviceData.hbm.xml
2016-02-25 15:21:56.372 WARN  DTDEntityResolver:75 - HHH000223: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2016-02-25 15:21:56.408 INFO  Configuration:757 - HHH000221: Reading mappings from resource: com/wavetec/eqms/models/conf/Profile.hbm.xml
2016-02-25 15:21:56.416 WARN  DTDEntityResolver:75 - HHH000223: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2016-02-25 15:21:56.445 INFO  Configuration:757 - HHH000221: Reading mappings from resource: com/wavetec/eqms/models/data/TicketData.hbm.xml
2016-02-25 15:21:56.452 WARN  DTDEntityResolver:75 - HHH000223: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2016-02-25 15:21:56.482 INFO  Configuration:757 - HHH000221: Reading mappings from resource: com/wavetec/eqms/models/data/EventData.hbm.xml
2016-02-25 15:21:56.502 WARN  DTDEntityResolver:75 - HHH000223: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2016-02-25 15:21:56.524 INFO  Configuration:757 - HHH000221: Reading mappings from resource: com/wavetec/eqms/models/data/ActivityData.hbm.xml
2016-02-25 15:21:56.531 WARN  DTDEntityResolver:75 - HHH000223: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2016-02-25 15:21:56.552 INFO  Configuration:757 - HHH000221: Reading mappings from resource: com/wavetec/eqms/models/conf/Pool.hbm.xml
2016-02-25 15:21:56.559 WARN  DTDEntityResolver:75 - HHH000223: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2016-02-25 15:21:56.575 INFO  Configuration:757 - HHH000221: Reading mappings from resource: com/wavetec/eqms/models/conf/Category.hbm.xml
2016-02-25 15:21:56.583 WARN  DTDEntityResolver:75 - HHH000223: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
